period_date,analysis_period,treated_value,synthetic_value,gap,outcome,treated_state
2016-01-01,pre,75.68497,80.22701083491889,-4.542040834918879,retail_volume_index_ma3,RR
2016-02-01,pre,73.181065,77.32918382739176,-4.148118827391755,retail_volume_index_ma3,RR
2016-03-01,pre,74.30825333333334,77.70748353569911,-3.3992302023657714,retail_volume_index_ma3,RR
2016-04-01,pre,74.0157,76.20412323756078,-2.1884232375607837,retail_volume_index_ma3,RR
2016-05-01,pre,75.11707333333334,76.56487026377458,-1.4477969304412426,retail_volume_index_ma3,RR
2016-06-01,pre,74.49755,74.7255506440662,-0.22800064406619924,retail_volume_index_ma3,RR
2016-07-01,pre,76.52820666666666,74.48741883964546,2.040787827021205,retail_volume_index_ma3,RR
2016-08-01,pre,79.96999666666667,73.8011152592989,6.168881407367778,retail_volume_index_ma3,RR
2016-09-01,pre,82.75784666666667,72.73994696347,10.017899703196662,retail_volume_index_ma3,RR
2016-10-01,pre,83.99689333333333,72.56553781802776,11.431355515305569,retail_volume_index_ma3,RR
2016-11-01,pre,83.73876,73.94408162650043,9.794678373499565,retail_volume_index_ma3,RR
2016-12-01,pre,89.17679,84.03763890647218,5.139151093527815,retail_volume_index_ma3,RR
2017-01-01,pre,82.46007333333333,84.09245802307663,-1.6323846897433043,retail_volume_index_ma3,RR
2017-02-01,pre,76.02239,79.70938766702432,-3.6869976670243148,retail_volume_index_ma3,RR
2017-03-01,pre,65.99575,71.0896864267696,-5.093936426769602,retail_volume_index_ma3,RR
2017-04-01,pre,67.07245666666667,70.45628303695523,-3.38382637028856,retail_volume_index_ma3,RR
2017-05-01,pre,69.74946,74.31520789920286,-4.5657478992028615,retail_volume_index_ma3,RR
2017-06-01,pre,70.69258333333333,74.09510589672061,-3.4025225633872793,retail_volume_index_ma3,RR
2017-07-01,pre,73.95679,75.48559456096972,-1.5288045609697178,retail_volume_index_ma3,RR
2017-08-01,pre,76.765033333333335,76.01324188823567,0.7517914450976662,retail_volume_index_ma3,RR
2017-09-01,pre,79.17075,77.08942812575017,2.0813218742498236,retail_volume_index_ma3,RR
2017-10-01,pre,79.02544,77.35483167763829,1.6706083223617156,retail_volume_index_ma3,RR
2017-11-01,pre,78.40129666666667,78.41322849228443,-0.011931825617764957,retail_volume_index_ma3,RR
2017-12-01,pre,81.52446333333333,86.19475464182342,-4.670291308490093,retail_volume_index_ma3,RR
2018-01-01,pre,80.42799666666666,85.42602372198105,-4.998027055314395,retail_volume_index_ma3,RR
2018-02-01,pre,78.136,81.50377754822956,-3.3677775482295687,retail_volume_index_ma3,RR
2018-03-01,pre,74.64132333333333,75.25267529596961,-0.6113519626362773,retail_volume_index_ma3,RR
2018-04-01,pre,74.15850666666667,74.8006741892332,-0.6421675225665382,retail_volume_index_ma3,RR
2018-05-01,pre,76.96900333333333,78.18771834652657,-1.2187150131932327,retail_volume_index_ma3,RR
2018-06-01,pre,75.57163,76.84566504156669,-1.274035041566691,retail_volume_index_ma3,RR
2018-07-01,pre,76.57304333333333,78.29976631521023,-1.7267229818769039,retail_volume_index_ma3,RR
2018-08-01,pre,76.14192,79.31835777027482,-3.1764377702748163,retail_volume_index_ma3,RR
2018-09-01,pre,76.91547333333332,79.86565053889377,-2.9501772055604505,retail_volume_index_ma3,RR
2018-10-01,pre,78.93347,81.49602824046322,-2.5625582404632183,retail_volume_index_ma3,RR
2018-11-01,pre,79.87271666666666,83.7853075064214,-3.912590839754742,retail_volume_index_ma3,RR
2019-01-01,post,79.74390666666666,84.29489315107215,-4.550986484405485,retail_volume_index_ma3,RR
2019-02-01,post,75.86658,81.54678182233096,-5.680201822330957,retail_volume_index_ma3,RR
2019-03-01,post,73.50768666666667,78.92414362558465,-5.416456958917976,retail_volume_index_ma3,RR
2019-04-01,post,74.17459333333333,78.19365418424279,-4.0190608509094545,retail_volume_index_ma3,RR
2019-05-01,post,78.33057333333333,80.43054101325205,-2.09996767991872,retail_volume_index_ma3,RR
2019-06-01,post,80.29924333333334,78.89925204192622,1.3999912914071189,retail_volume_index_ma3,RR
2019-07-01,post,82.27847666666666,79.79017627132994,2.488300395336722,retail_volume_index_ma3,RR
2019-08-01,post,82.70147333333333,80.42667055047205,2.274802782861272,retail_volume_index_ma3,RR
2019-09-01,post,83.02571999999999,81.99778402786707,1.0279359721329229,retail_volume_index_ma3,RR
2019-10-01,post,84.20886,84.05149207307046,0.15736792692953827,retail_volume_index_ma3,RR
2019-11-01,post,88.64246333333332,87.48849469246923,1.1539686408640932,retail_volume_index_ma3,RR
2019-12-01,post,93.66587,95.84251751767154,-2.1766475176715403,retail_volume_index_ma3,RR
2020-01-01,post,90.70157333333333,94.87579329912049,-4.1742199657871595,retail_volume_index_ma3,RR
2020-02-01,post,83.27795,90.17858911806367,-6.9006391180636655,retail_volume_index_ma3,RR
2020-03-01,post,74.36035333333334,80.89448122138118,-6.534127888047848,retail_volume_index_ma3,RR
2020-04-01,post,69.23405666666666,74.66605243003201,-5.43199576336535,retail_volume_index_ma3,RR
2020-05-01,post,69.15009333333333,73.77943995740033,-4.629346624066997,retail_volume_index_ma3,RR
2020-06-01,post,72.34877333333334,75.86252641598918,-3.513753082655839,retail_volume_index_ma3,RR
2020-07-01,post,80.58998666666668,84.26098320244795,-3.6709965357812706,retail_volume_index_ma3,RR
2020-08-01,post,86.42248666666667,89.7448671402797,-3.3223804736130234,retail_volume_index_ma3,RR
2020-09-01,post,90.41361666666667,92.30018907343387,-1.8865724067672005,retail_volume_index_ma3,RR
2020-10-01,post,92.99913333333333,95.23938250571602,-2.24024917238269,retail_volume_index_ma3,RR
2020-11-01,post,95.10352999999999,98.40112970513515,-3.2975997051351555,retail_volume_index_ma3,RR
2020-12-01,post,101.90326999999999,106.68984470511545,-4.786574705115456,retail_volume_index_ma3,RR
