period_date,analysis_period,treated_value,synthetic_value,gap,outcome,treated_state
2019-01-01,post,75.14729,83.53593013144742,-8.388640131447417,services_volume_index_ma3,RR
2019-02-01,post,73.50995,81.72885881520898,-8.218908815208977,services_volume_index_ma3,RR
2019-03-01,post,75.26510666666667,81.77400037968452,-6.508893713017855,services_volume_index_ma3,RR
2019-04-01,post,75.84461333333333,81.67448368549049,-5.829870352157158,services_volume_index_ma3,RR
2019-05-01,post,79.19966333333333,83.82802483773422,-4.6283615044008855,services_volume_index_ma3,RR
2019-06-01,post,78.72852666666667,83.86935122113178,-5.140824554465112,services_volume_index_ma3,RR
2019-07-01,post,79.71513,84.87305977830167,-5.157929778301664,services_volume_index_ma3,RR
2019-08-01,post,82.64643,84.56285970028512,-1.9164297002851214,services_volume_index_ma3,RR
2019-09-01,post,85.10980333333333,85.1608579776839,-0.05105464435057172,services_volume_index_ma3,RR
2019-10-01,post,82.93604,86.15252334541466,-3.216483345414659,services_volume_index_ma3,RR
2019-11-01,post,79.96951666666666,86.33555548627575,-6.366038819609088,services_volume_index_ma3,RR
2019-12-01,post,82.27246666666666,88.25634445229605,-5.983877785629389,services_volume_index_ma3,RR
2020-01-01,post,80.98810666666667,86.4902201365748,-5.502113469908139,services_volume_index_ma3,RR
2020-02-01,post,78.24197666666666,84.30626039627387,-6.064283729607212,services_volume_index_ma3,RR
2020-03-01,post,71.98788666666667,80.96079804423894,-8.972911377572274,services_volume_index_ma3,RR
2020-04-01,post,68.90342,75.92397969419358,-7.0205596941935795,services_volume_index_ma3,RR
2020-05-01,post,64.47341333333333,73.09900994833784,-8.625596615004511,services_volume_index_ma3,RR
2020-06-01,post,61.71668333333333,71.25854717205819,-9.541863838724858,services_volume_index_ma3,RR
2020-07-01,post,65.62321,74.27755433361386,-8.654344333613864,services_volume_index_ma3,RR
2020-08-01,post,70.53647,77.5829737748513,-7.046503774851303,services_volume_index_ma3,RR
2020-09-01,post,75.37531666666666,81.02880711706581,-5.653490450399147,services_volume_index_ma3,RR
2020-10-01,post,77.89904666666666,84.45249312508238,-6.553446458415721,services_volume_index_ma3,RR
2020-11-01,post,79.24948666666667,86.70495266784062,-7.455466001173946,services_volume_index_ma3,RR
2020-12-01,post,83.14488666666666,89.42562261981601,-6.280735953149346,services_volume_index_ma3,RR
2016-01-01,pre,91.66461,88.02172278745516,3.642887212544835,services_volume_index_ma3,RR
2016-02-01,pre,88.45385999999999,86.6997409798538,1.7541190201461916,services_volume_index_ma3,RR
2016-03-01,pre,89.46578666666666,88.2270726401884,1.238714026478263,services_volume_index_ma3,RR
2016-04-01,pre,88.38233,88.18005022620466,0.20227977379533968,services_volume_index_ma3,RR
2016-05-01,pre,88.96504,89.07606072867517,-0.11102072867517165,services_volume_index_ma3,RR
