period_date,analysis_period,treated_value,synthetic_value,gap,outcome,lambda,cv_rmse
2016-01-01,pre,-84,-28.288341479879108,-55.71165852012089,formal_hiring_balance,3.605471154250506,0.8018080582949044
2016-02-01,pre,-83,-54.3286705398702,-28.671329460129797,formal_hiring_balance,3.605471154250506,0.8018080582949044
2016-03-01,pre,220,12.597406637125822,207.40259336287417,formal_hiring_balance,3.605471154250506,0.8018080582949044
2016-04-01,pre,-64,-57.4846777420463,-6.515322257953699,formal_hiring_balance,3.605471154250506,0.8018080582949044
2016-05-01,pre,-43,-86.99957907263618,43.99957907263618,formal_hiring_balance,3.605471154250506,0.8018080582949044
2016-06-01,pre,-232,-196.05063538972703,-35.949364610272966,formal_hiring_balance,3.605471154250506,0.8018080582949044
2016-07-01,pre,-90,-3.8952578280939605,-86.10474217190604,formal_hiring_balance,3.605471154250506,0.8018080582949044
2016-08-01,pre,63,84.98016345103547,-21.980163451035466,formal_hiring_balance,3.605471154250506,0.8018080582949044
2016-09-01,pre,345,320.2727246661741,24.7272753338259,formal_hiring_balance,3.605471154250506,0.8018080582949044
2016-10-01,pre,-207,-212.39214632998141,5.392146329981415,formal_hiring_balance,3.605471154250506,0.8018080582949044
2016-11-01,pre,-23,-113.0497612968478,90.0497612968478,formal_hiring_balance,3.605471154250506,0.8018080582949044
2016-12-01,pre,-490,-359.3648235830698,-130.63517641693022,formal_hiring_balance,3.605471154250506,0.8018080582949044
2017-01-01,pre,258,85.44466995906262,172.55533004093738,formal_hiring_balance,3.605471154250506,0.8018080582949044
2017-02-01,pre,164,125.7451444048131,38.254855595186896,formal_hiring_balance,3.605471154250506,0.8018080582949044
2017-03-01,pre,-86,9.250443648323206,-95.2504436483232,formal_hiring_balance,3.605471154250506,0.8018080582949044
2017-04-01,pre,244,134.77408295368087,109.22591704631913,formal_hiring_balance,3.605471154250506,0.8018080582949044
2017-05-01,pre,267,142.24646912235787,124.75353087764213,formal_hiring_balance,3.605471154250506,0.8018080582949044
2017-06-01,pre,23,-57.77364659682138,80.77364659682138,formal_hiring_balance,3.605471154250506,0.8018080582949044
2017-07-01,pre,15,61.215926717519544,-46.215926717519544,formal_hiring_balance,3.605471154250506,0.8018080582949044
2017-08-01,pre,415,241.56578720435058,173.43421279564942,formal_hiring_balance,3.605471154250506,0.8018080582949044
2017-09-01,pre,535,415.9097574004997,119.0902425995003,formal_hiring_balance,3.605471154250506,0.8018080582949044
2017-10-01,pre,48,171.6589897907715,-123.6589897907715,formal_hiring_balance,3.605471154250506,0.8018080582949044
